id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,journal,year_publication,volume,issue,page_first,page_last,paper_copy_only,notes,qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_notes,double_extracted,article_label
ea19ea1acefa3c5c467da743aab85565,3051,Nipah virus,birgit,Nikolay,A Framework to Monitor Changes in Transmission and Epidemiology of Emerging Pathogens: Lessons From Nipah Virus.,10.1093/infdis/jiaa074,Journal Of Infectious Diseases,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,good paper for discussion,0,Nikolay 2020
53e62579c90ed736c42369b1089933dc,3057,Nipah virus,Radhakrishnan,Chandni,"Clinical Manifestations of Nipah Virus-Infected Patients Who Presented to the Emergency Department During an Outbreak in Kerala State in India, May 2018",10.1093/cid/ciz789,Clinical Infectious Diseases,2019,71,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,such a lot of nosocomial transmission!,0,Chandni 2019
95f196669c6cf72cbd59639d4e461933,3058,Nipah virus,oscar,Cortes-Azuero,The genetic diversity of Nipah virus across spatial scales,10.1093/infdis/jiae221,Journal Of Infectious Diseases,2024,230,6,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,0,Cortes-Azuero 2024
056e0a859e2782c771f03e7f71540d41,3062,Nipah virus,ST,Hegde,Using healthcare-seeking behaviour to estimate the number of Nipah outbreaks missed by hospital-based surveillance in Bangladesh,10.1093/ije/dyz057,International Journal Of Epidemiology,2019,48,4,1219,1227,FALSE,NA,Yes,No,No,Yes,Yes,Yes,No,NA,0,Hegde 2019
8c9d3d9a1d4f5dff0c082e94510b34a9,3065,Nipah virus,B,Thomas,"Nipah Virus Infection in Kozhikode, Kerala, South India, in 2018: Epidemiology of an Outbreak of an Emerging Disease",10.4103/ijcm.IJCM_198_19,Indian Journal Of Community Medicine,2019,44,NA,383,387,FALSE,NA,No,Yes,No,Yes,Yes,Yes,Yes,NA,0,Thomas 2019
783429ae49eeed80b704fce41383e6aa,3068,Nipah virus,CD,Mckee,The Ecology of Nipah Virus in Bangladesh: A Nexus of Land-Use Change and Opportunistic Feeding Behavior in Bats,10.3390/ v13020169,Viruses,2021,13,169,NA,NA,FALSE,NA,No,No,No,NA,Yes,No,No,NA,0,Mckee 2021
a0426117a55340de488a4573bfb443f4,3357,Nipah virus,KT,Kubra,Exploring the influence of burial and cremation practices on Nipah virus transmission: a SIRD model analysis,10.1007/s40808-024-02024-0,Modeling Earth Systems And Environment,2024,10,NA,4759,4786,FALSE,NA,Yes,No,Yes,No,Yes,No,No,NA,0,Kubra 2024
4a5ecf0a179e532fa0dd0cb30296e004,3359,Nipah virus,AD,Zewdie,A Mathematical Model for Nipah Virus Infection,10.1155/2020/6050834,Journal Of Applied Mathematics,2020,2020,NA,NA,NA,FALSE,another theoretical model - not much value in this paper,No,No,No,Yes,NA,NA,NA,NA,0,Zewdie 2020
14e4af4c5acac3871e3d052079189685,3361,Nipah virus,Arinze Luke,Ozioko,The dynamics of Nipah virus (NiV) transmission and analysis,10.22436/jmcs.031.04.03,Journal Of Mathematics And Computer Science-Jmcs,2023,31,4,367,391,NA,NA,No,No,No,No,NA,NA,NA,NA,0,Ozioko 2023
5f241552751dc63acf32452d40c9086a,3363,Nipah virus,Assefa Denekew,Zewdie,Human-animal Nipah virus transmission: model analysis and optimal control,10.1007/s40435-022-01089-y,International Journal Of Dynamics And Control,2023,11,4,1974,1994,NA,NA,Yes,No,No,No,NA,NA,NA,NA,0,Zewdie 2023
653074bdca3515c0d8f19eec6f36bdb0,3371,Nipah virus,Swati,Tyagi,Mathematical modeling and analysis for controlling the spread of infectious diseases,10.1016/j.chaos.2021.110707,Chaos Solitons & Fractals,2021,144,NA,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,0,Tyagi 2021
1fc6b6893a343baf4df750dfea6a28ba,3373,Nipah virus,Dumitru,Baleanu,Stability analysis and system properties of Nipah virus transmission: A fractional calculus case study,10.1016/j.chaos.2022.112990,Chaos Solitons & Fractals,2023,166,NA,NA,NA,NA,NA,No,No,No,Yes,NA,NA,NA,NA,0,Baleanu 2023
3f7224eeca37199f41c48eadd4945c05,3379,Nipah virus,Saumen,Barua,A compartmental model for the spread of Nipah virus in a periodic environment,10.3934/math.20231516,Aims Mathematics,2023,8,12,29604,29627,NA,NA,Yes,No,No,Yes,NA,NA,NA,NA,0,Barua 2023
31a953f70392d35e95768bfea2487520,3382,Nipah virus,KAMAL,Shah,A MATHEMATICAL MODEL FOR NIPAH VIRUS DISEASE BY USING PIECEWISE FRACTIONAL ORDER CAPUTO DERIVATIVE,10.1142/S0218348X24400139,Fractals-Complex Geometry Patterns And Scaling In Nature And Society,2024,32,2,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,0,Shah 2024
2b8710c19a1fcb13fa71a0d6d17fbcdb,3402,Nipah virus,Sunday,Abang,A MATHEMATICAL MODEL TO PROVIDE INSIGHTS INTO FOOD-BORNE NIPAH VIRUS INFECTIOUS DISEASE TRANSMISSION DYNAMICS,10.28919/cmbn/8696,Communications In Mathematical Biology And Neuroscience,2024,NA,NA,NA,NA,FALSE,NA,No,No,No,No,NA,NA,NA,NA,0,Abang 2024
f7aee49811030185ad652a3e4db4bedb,3410,Nipah virus,Ali,Raza,Computer modeling: A gateway to novel advancements in solving real-life problems,10.1016/j.bspc.2024.106414,Biomedical Signal Processing And Control,2024,95,NA,NA,NA,FALSE,NA,Yes,No,No,No,NA,NA,NA,NA,0,Raza 2024
e78e87854927bdb90b9067bc3f744a08,3446,Nipah virus,Sehrish,Ramzan,Exploring the dynamical bifurcation and stability analysis of Nipah virus; novel perspectives utilizing fractional calculus,10.1007/s40808-024-02071-7,Modeling Earth Systems And Environment,2024,10,4,5427,5448,FALSE,NA,No,No,No,No,NA,NA,NA,NA,0,Ramzan 2024
dea8f5bae50dafe4b8b13f6f628a683f,3489,Nipah virus,Firat,Evirgen,Transmission of Nipah virus dynamics under Caputo fractional derivative,10.1016/j.cam.2022.114654,Journal Of Computational And Applied Mathematics,2023,418,NA,NA,NA,FALSE,NA,Yes,No,No,No,NA,NA,NA,NA,0,Evirgen 2023
3f8d8ad5913ba53c9a15d84034da9b41,3496,Nipah virus,Abang,Scott,MATHEMATICAL MODELLING APPROACH FOR THE STUDY OF NIPAH VIRUS DISEASE TRANSMISSION DYNAMICS,10.28919/cmbn/8056,Communications In Mathematical Biology And Neuroscience,2023,NA,NA,NA,NA,FALSE,NA,Yes,No,No,No,NA,NA,NA,NA,0,Scott 2023
10d91bce0ae2146c9738a43537f0026f,3512,Nipah virus,Arinze,Ozioko,OPTIMAL NIPAH VIRUS (NIV) SPREAD CONTROL DYNAMICS,10.28919/cmbn/8045,Communications In Mathematical Biology And Neuroscience,2023,NA,NA,NA,NA,FALSE,NA,Yes,No,No,No,NA,NA,NA,NA,0,Ozioko 2023
496a653faab4c83c1da96760ab697322,3527,Nipah virus,Arshad,Ali,ANALYSIS OF THE TRANSMISSION OF NIPAH VIRUS UNDER FRACTIONAL OPERATOR WITH NON-SINGULAR AND NONLOCAL KERNEL,10.1142/S0218348X22401934,Fractals,2022,30,10,NA,NA,FALSE,NA,Yes,No,No,No,NA,NA,NA,NA,0,Ali 2022
635ea39d0bb5db75c51e26880525a0ec,3571,Nipah virus,Samhita,Das,Control of Nipah virus outbreak in commercial pig-farm with biosecurity and culling,10.1051/mmnp/2020047,Mathematical Modelling Of Natural Phenomena,2020,15,64,NA,NA,NA,"Just a paired SI-SI model. No real world data, all theoretical.",Yes,Yes,Yes,No,NA,NA,NA,NA,0,Das 2020
fd290286e6ae39fb83e84da5f4fd193e,3643,Nipah virus,N/A,Samreen,A mathematical study unfolding the transmission and control of deadly Nipah virus infection under optimized preventive measures: New insights using fractional calculus,10.1016/j.rinp.2023.106629,Results In Physics,2023,51,NA,106629,NA,FALSE,"Theoretical model, not fit to data, optimal control. Considers transmission via environment and dead bodies of infected.",No,No,Yes,No,NA,NA,NA,NA,0,Samreen 2023
685f184d146c3e9411ee158e4fd7cf00,3679,Nipah virus,Arun Kumar,Sikder,Compartmental modelling in epidemic diseases: a comparison between SIR model with constant and time-dependent parameters,10.1088/1361-6420/acb4e7,Inverse Problems,2023,39,3,NA,NA,FALSE,"Simple SIR model, fitting new transmission and recovery every year, to fit precisely to cumulative cases.",No,No,No,No,No,No,No,NA,0,Sikder 2023
